age_category,session_duration,tracks_listened,unique_artists
26-35,22.033718468440668,5,2
26-35,36.96882113071842,11,3
Under 18,10.758352088541562,3,1
18-25,13.853127952647727,3,1
50+,19.184958803657317,6,3
18-25,18.93041782184253,6,2
Under 18,26.77351120393505,8,3
18-25,10.62914733764405,2,1
50+,17.665269961834007,5,2
18-25,18.690917802369384,3,1
26-35,16.42204823467344,3,1
36-50,27.271960723797477,5,1
18-25,19.357509972603403,4,2
26-35,23.927403113221768,7,3
18-25,14.22707579912095,3,1
26-35,22.041075337716897,5,1
26-35,16.82697928863547,4,1
26-35,31.910131082915413,7,3
Under 18,27.229711977287142,8,4
36-50,32.08036914881351,8,3
18-25,23.03837363845016,4,1
18-25,17.62546984680817,3,1
Under 18,16.71725743833019,4,1
26-35,28.925184349922553,5,2
26-35,26.60690843648731,8,2
Under 18,18.78054297560685,5,2
26-35,22.903371384993545,5,1
18-25,28.198332945407444,6,3
26-35,21.545221249463665,4,1
18-25,29.426731487852294,6,2
26-35,26.45708955200164,6,2
18-25,17.424834283921665,3,1
50+,14.073653773454541,3,1
Under 18,18.918326890470752,6,3
18-25,23.52355969386092,5,1
Under 18,17.360909291242038,3,1
50+,22.251677764902205,4,1
36-50,19.438246981429792,5,2
18-25,19.126507923262075,6,2
26-35,14.706444780068026,4,1
36-50,25.356861020826166,5,1
26-35,22.86259445144348,4,1
26-35,37.63096405868713,10,3
18-25,24.933670120877984,5,2
Under 18,20.591498416093522,5,2
36-50,29.351056126161446,6,3
50+,20.025544247110535,6,2
26-35,33.06608096683817,6,3
18-25,13.963399502399064,3,1
18-25,23.228322007687822,5,1
26-35,29.021774884824076,7,2
36-50,12.731553608672616,2,1
36-50,31.039752784538166,7,2
36-50,15.03800645377171,4,1
26-35,14.608301083207179,3,1
Under 18,0.05920128430371108,1,1
18-25,23.316991578787587,6,2
36-50,12.141607438511919,2,1
26-35,20.86464410914419,4,1
Under 18,25.865078712312503,8,2
Under 18,21.344370367850267,4,2
26-35,20.010421915101915,4,1
Under 18,8.865243424228744,1,1
18-25,19.246709802119486,6,2
26-35,31.842202109224438,6,3
26-35,30.60669157402154,6,2
26-35,39.294246687260156,9,4
18-25,15.425789986687857,3,1
26-35,14.463730450286198,3,1
18-25,22.169656851910954,4,2
18-25,21.479948599780293,4,1
26-35,24.961123097728663,6,2
26-35,19.028815921886846,4,1
36-50,6.079725398905294,1,1
26-35,16.947093902786555,4,2
26-35,29.45654773036061,8,2
Under 18,21.987745188808802,7,4
18-25,26.756848004102416,6,2
18-25,22.416273363227234,6,2
18-25,25.152120698083113,5,1
50+,21.823660105053765,5,3
18-25,20.143326192299494,4,2
36-50,22.164992522397007,5,2
26-35,1.7291005418253853,1,1
36-50,18.060495499827173,3,1
26-35,20.092778191432053,5,2
26-35,24.129570174872068,4,2
18-25,13.48762815749825,3,1
18-25,26.562948096307593,7,4
26-35,17.947920282603846,4,1
18-25,27.717028491320537,6,2
Under 18,13.271914753161669,3,1
26-35,20.16976163221479,6,2
18-25,15.241313528464184,5,1
50+,15.518829953320951,3,1
50+,23.89318973020797,5,1
50+,16.364576860364952,4,1
18-25,17.888409430744435,3,1
Under 18,14.807423602876874,3,1
50+,16.701032629590372,3,1
18-25,21.515139566454085,5,1
50+,16.924195634024873,3,1
50+,17.248541607396565,4,2
36-50,28.09618236162707,6,2
18-25,21.9155461677871,5,2
18-25,11.943806254830184,2,1
36-50,21.488408556204444,6,2
18-25,16.231548729849663,4,2
18-25,23.647181702789457,5,2
26-35,25.82351845907146,5,2
50+,23.65155405168494,5,2
26-35,19.079669738200213,4,1
26-35,23.46063870176152,6,2
Under 18,12.551200920994432,2,1
26-35,24.665576533974495,7,4
50+,10.317094916566035,2,1
Under 18,22.250391960950417,5,2
26-35,24.556323317353172,7,2
36-50,22.931108428287583,6,2
26-35,31.305077149553316,7,3
26-35,26.798419914364995,8,3
26-35,14.785779708928677,4,2
18-25,16.108890571217934,5,1
18-25,19.438728999988292,5,1
36-50,20.03140317995425,4,2
36-50,20.764251763870796,5,1
36-50,31.728715048912207,6,2
50+,18.5017772304338,4,1
26-35,28.05807693238654,7,3
26-35,8.929588035434552,1,1
36-50,26.476027913397203,7,2
26-35,47.81569503646722,12,4
26-35,35.76523309028098,9,4
36-50,19.358858896526815,4,2
36-50,35.6863445418353,11,6
18-25,20.192474566168773,4,2
18-25,22.145823935649798,6,2
Under 18,18.127946489485286,4,1
26-35,22.653449054357775,7,2
Under 18,4.26333365060251,1,1
18-25,25.5124582232052,6,3
26-35,22.624014340219585,7,2
18-25,18.683575184884013,4,1
26-35,27.18670115310775,7,2
Under 18,17.097952359893622,3,1
Under 18,21.846787440420986,5,2
36-50,29.218363056673496,6,2
18-25,22.833693475865118,6,2
Under 18,18.92552004208671,5,2
26-35,24.012039168938617,7,2
36-50,23.20356147446652,4,1
18-25,14.174947916378375,4,1
26-35,26.662877610207346,6,2
Under 18,24.79199624731754,7,2
Under 18,20.612612672775327,4,1
26-35,21.606936816533,5,1
26-35,22.703171841360604,5,2
26-35,30.21735072247895,9,3
26-35,16.198590363330744,4,1
50+,13.917714280768546,4,1
26-35,12.14479188975394,3,1
18-25,20.237990895378623,5,3
36-50,27.171326054447338,6,2
18-25,29.32037278520266,6,2
18-25,30.840660902363055,8,4
Under 18,15.166681004661472,3,1
Under 18,21.75021675858155,4,1
50+,15.98843829407982,3,1
36-50,31.88586371335072,6,2
26-35,35.42757040084644,8,3
18-25,21.176500072840824,6,2
18-25,15.664509776521196,3,1
18-25,0.0,1,1
18-25,9.964801277383735,2,1
26-35,10.18165793193912,2,1
26-35,13.430139440766396,3,1
26-35,40.03078094329543,11,6
18-25,10.934710106117926,2,1
50+,12.695285025808237,3,1
26-35,17.635806941471564,5,2
26-35,45.78835783181067,11,4
26-35,24.500382177670843,4,2
18-25,26.959429862729827,8,3
18-25,21.22776788065768,5,2
18-25,6.109136876799948,1,1
36-50,31.19583680589723,9,4
Under 18,22.80767725938451,7,2
Under 18,19.14800914689336,4,2
Under 18,32.32089225041449,6,3
Under 18,17.574157436031598,5,2
36-50,21.133509011459292,4,1
26-35,22.23917823523797,5,2
18-25,27.534038997191036,8,3
Under 18,25.696760524164745,6,2
18-25,21.950332033033302,5,2
18-25,12.637627167412642,3,1
18-25,17.40836483866898,5,2
18-25,12.635410129356861,3,1
18-25,28.122574752019986,7,2
26-35,12.40218113301917,3,1
26-35,37.75496950531563,8,5
Under 18,29.01357014179436,6,2
18-25,13.57029776555482,2,1
26-35,21.66812589088112,7,3
26-35,19.300556764525975,4,1
36-50,24.58140278619052,5,3
26-35,36.299585813498595,8,3
18-25,28.299335214374103,5,2
Under 18,16.96948668609156,5,2
26-35,35.03845654195569,7,4
Under 18,28.202754241228895,6,2
26-35,23.489328729968854,7,2
50+,17.952707610385414,3,1
26-35,37.33371267717418,10,3
18-25,27.408533161724492,7,2
26-35,34.79827187607388,8,3
18-25,38.097688784350716,9,4
26-35,29.378136130498977,8,4
50+,19.628323604553945,4,2
18-25,29.50556222927962,8,4
50+,27.93910455733503,7,2
50+,14.943030347420692,4,1
18-25,18.586990351693608,4,2
Under 18,12.870005656170381,3,1
Under 18,22.399249820878172,5,1
Under 18,26.224810226768508,7,2
Under 18,13.357859007558009,3,1
26-35,34.07036416177336,9,3
Under 18,16.826711612004132,4,2
18-25,16.25646472318258,3,1
36-50,28.779629519342606,7,3
Under 18,15.624016092341883,4,1
36-50,13.579009136661345,3,1
18-25,25.205599769363353,5,3
Under 18,19.07808392174796,5,1
26-35,34.58447066541619,7,3
26-35,31.66392536610776,9,3
36-50,11.510209835310196,2,1
26-35,35.52427538711136,7,3
36-50,33.39849971708173,7,2
18-25,27.235224564849624,7,4
18-25,27.517022964829252,7,2
36-50,20.51396751455347,4,1
36-50,19.139827878192403,6,2
50+,19.062223475130946,4,1
18-25,26.43933750614368,8,4
18-25,26.263135256837536,5,1
36-50,19.373304114368977,4,2
18-25,16.225886310530736,4,1
50+,10.549232768081465,2,1
36-50,25.881519552132954,7,4
18-25,17.27153108170595,3,1
36-50,20.19373121731905,4,1
36-50,32.367251078665035,10,3
Under 18,24.188722347490724,6,2
50+,19.614493430845705,4,1
26-35,31.641578323805472,9,3
36-50,30.523684044654882,7,3
18-25,8.677634678844539,1,1
36-50,18.606229378309337,5,3
18-25,18.37505640996317,4,1
Under 18,13.151606473875221,3,1
50+,16.673892135030076,4,2
Under 18,9.142055690384526,1,1
18-25,26.45525482209331,6,3
50+,15.412477046327844,4,1
50+,19.004781989430864,3,1
26-35,25.410468957257542,7,3
26-35,29.45935520899223,6,2
18-25,2.773772973796852,1,1
18-25,23.151846047405776,5,2
18-25,18.074357958744812,4,1
26-35,28.25491141771755,8,4
36-50,14.923280753569939,3,1
36-50,24.48204442203884,5,1
36-50,29.791071158345275,7,4
Under 18,21.328363818594184,4,1
18-25,14.979314213576348,3,1
Under 18,15.285280249466808,3,1
26-35,29.609930407161922,8,3
18-25,23.987510185351567,4,1
36-50,24.139251896360516,4,1
18-25,19.73732479004021,4,2
Under 18,21.42071982745764,4,2
Under 18,19.545636417574013,5,2
36-50,19.714713764401438,4,1
26-35,31.059815281228648,9,5
Under 18,22.170817887987745,4,1
Under 18,29.033791633455884,6,2
26-35,33.93492304147226,6,3
Under 18,21.94236372640831,4,1
36-50,25.572283799177878,7,3
26-35,17.342501882112952,4,1
Under 18,19.45687365427126,4,2
Under 18,22.398639810590133,4,1
50+,10.08631972362976,2,1
18-25,23.005954422233962,5,2
18-25,13.28541117791945,3,1
36-50,16.90249665682901,3,1
50+,15.352572214173545,3,1
50+,17.847466668796713,4,1
36-50,14.031828657811237,3,1
18-25,25.996504322296797,5,1
Under 18,21.241927675535273,6,2
36-50,33.54987418336307,10,6
26-35,27.40064364415933,6,3
18-25,23.995636245320963,7,2
50+,13.730678661236842,4,2
Under 18,11.72732796220702,2,1
18-25,24.33409285692017,6,2
Under 18,12.346970241452725,4,1
18-25,24.492946398866202,5,2
Under 18,31.945671305480495,9,5
Under 18,26.620380803706112,6,2
Under 18,23.99312631364762,7,2
26-35,27.155976878475364,8,3
26-35,21.928320326306274,6,3
26-35,24.083510887894803,5,1
50+,15.172856631359554,3,1
18-25,10.792170476563347,2,1
18-25,20.2479913980712,6,2
36-50,28.647334369331805,5,3
18-25,10.978410401502407,2,1
50+,24.99248216401663,7,3
Under 18,28.520289630031044,8,3
50+,19.98499412005948,6,3
Under 18,22.835317437920782,4,2
36-50,20.882521602938716,4,1
26-35,25.336132826682288,8,5
50+,15.68207263184368,4,1
Under 18,20.22146654305421,5,1
26-35,26.11860928910006,7,2
50+,27.406220001757028,5,1
26-35,29.524928355029594,8,4
26-35,23.324775452047376,6,3
26-35,24.20874650583718,7,3
18-25,15.0071921217816,3,1
26-35,20.612567007050668,5,1
26-35,32.28556553394332,9,5
50+,15.53016449584678,3,1
Under 18,15.677248372997731,5,2
18-25,15.852411827789258,4,1
50+,14.354104739116709,3,1
36-50,28.763110452061113,6,2
18-25,20.998921531033893,4,1
26-35,22.74148300398793,6,2
18-25,20.20497147899694,5,1
18-25,21.521033568072728,6,2
18-25,14.768945352464137,3,1
18-25,10.272830748450497,2,1
26-35,35.70802174510875,10,4
Under 18,26.916166202795196,6,3
50+,19.88901296931818,6,2
50+,22.595969683310514,4,2
26-35,40.31491238744742,11,4
26-35,20.716770374750574,4,1
18-25,12.159761597716564,2,1
36-50,25.969099727665885,8,4
26-35,13.265392240491442,3,1
18-25,20.265808577112256,4,1
50+,16.507842918196214,5,1
36-50,26.04332670645258,6,2
50+,15.58862601121386,4,1
26-35,34.598158221627855,8,3
26-35,19.024931955750162,6,2
18-25,24.940604629604252,7,4
50+,14.667931446692908,4,1
36-50,25.290726971349237,7,3
Under 18,12.897479493139407,3,1
Under 18,19.831203097800074,6,2
18-25,29.254641131125798,6,3
36-50,22.69003120085045,5,2
50+,23.91538590558824,6,2
18-25,19.816078640508078,5,2
26-35,20.95960591751885,6,2
18-25,21.203877461937154,5,2
50+,21.09198327941651,5,2
36-50,10.566760673991055,2,1
36-50,25.13371026615207,5,2
18-25,13.421153790204006,3,1
18-25,11.680935519275097,3,1
18-25,23.770036667799044,5,1
Under 18,29.3695204923563,7,4
36-50,23.29843710887691,4,1
36-50,13.867555888881409,3,1
50+,14.647197448554854,3,1
50+,15.90866412570442,4,1
26-35,26.568775521829885,5,2
36-50,21.568720909982236,6,2
50+,20.47614901721753,5,2
36-50,27.9998369838576,6,2
18-25,22.413212047336685,6,3
18-25,26.286564848046723,7,2
Under 18,18.112027822827027,4,1
50+,34.47952229963775,7,2
26-35,29.42544475069003,6,2
18-25,24.78834042017548,7,2
26-35,39.06144648310269,11,6
26-35,25.705430422870204,5,3
18-25,15.481441820197997,3,1
Under 18,29.145038321432573,9,3
26-35,35.92114373281009,7,4
26-35,26.228050440463317,7,2
36-50,32.55776522706522,7,3
26-35,24.333713526039016,6,2
36-50,27.593697694738886,8,4
26-35,37.124259174029376,8,2
26-35,25.78663212338252,7,2
36-50,24.740788659017284,7,4
18-25,27.18210577737632,5,2
Under 18,17.436705642514497,4,2
Under 18,14.300937991370553,2,1
36-50,29.997890861065272,7,4
26-35,27.454126677296742,6,2
26-35,20.95528368001964,6,2
18-25,20.65881740176514,5,2
Under 18,23.5597260717658,7,3
Under 18,9.014904632397338,2,1
18-25,25.011950283088662,6,2
26-35,28.267569630735267,8,4
18-25,31.58569356776704,6,3
18-25,18.4670607798897,5,1
50+,24.88558716754129,8,2
18-25,19.687481210677312,5,3
26-35,26.11339270927511,6,2
36-50,23.685707493147973,5,2
18-25,34.65277327799685,8,3
26-35,15.084075218979274,3,1
36-50,24.97045107298521,8,3
50+,18.21115718628614,3,1
Under 18,19.800253871775194,5,2
50+,20.915053796351447,5,1
18-25,27.742007499115786,6,3
18-25,23.72142460607322,5,1
18-25,28.646432906972244,8,4
50+,16.745194036853963,3,1
18-25,19.660134469162802,5,3
18-25,12.993901933138531,3,1
26-35,40.8632455207323,10,6
18-25,18.693012716464096,4,2
Under 18,17.919495864253626,3,1
Under 18,24.246639065388052,5,2
Under 18,27.74955622506131,6,2
18-25,15.15543138217415,4,1
Under 18,28.30681234059577,6,3
26-35,22.573585422405014,4,2
18-25,30.014336879592065,6,3
18-25,16.213636974215106,4,2
36-50,26.41268394837036,6,2
18-25,20.29896873940124,4,1
26-35,15.988977250440458,5,2
18-25,10.088248831567922,2,1
18-25,14.79932997564175,4,1
Under 18,26.94789824339682,8,3
18-25,6.397913629636653,1,1
18-25,22.3376218125814,6,3
18-25,21.728233657597887,7,3
Under 18,8.223930579295306,1,1
Under 18,14.42173399184997,3,1
18-25,14.408506010195426,3,1
18-25,20.36884029774019,4,1
18-25,30.26435047916396,9,3
26-35,33.5996954183826,9,5
26-35,22.117532412543657,5,3
Under 18,14.194077574802709,2,1
36-50,12.64975700632375,2,1
26-35,21.971132131614134,7,4
Under 18,13.70848946378397,3,1
36-50,21.783112109766915,5,1
50+,18.00871931538735,4,1
Under 18,16.67089847275267,3,1
18-25,16.817490736568207,3,1
36-50,17.83723107378863,5,1
26-35,20.9001640276512,4,2
18-25,30.051407454937895,6,3
18-25,23.624656292854006,6,2
18-25,23.71945192811301,5,2
18-25,27.0836003559533,7,3
26-35,32.38818079361561,7,2
18-25,29.97335074381032,8,2
18-25,24.118926766615797,7,3
26-35,26.64115552570913,6,2
Under 18,15.864600914837874,5,2
18-25,14.230936057526343,4,2
26-35,32.058058093838234,9,3
36-50,21.33367013437259,4,1
26-35,14.120961991473449,2,1
26-35,8.255743219145568,2,1
Under 18,35.033394731470366,8,2
18-25,13.098446434304392,4,1
26-35,19.510090261444518,4,2
18-25,28.59654546073626,7,2
18-25,11.53997756668871,2,1
18-25,23.719870016768358,5,1
Under 18,32.753837824341325,10,4
18-25,34.79681201418822,8,3
18-25,16.867862008382733,4,1
18-25,19.915741750218555,4,2
Under 18,17.225312888848894,3,1
36-50,21.892298231883228,5,1
26-35,35.38617253527888,7,2
26-35,13.805500205840993,2,1
36-50,25.887740776151443,8,4
18-25,18.631516568375375,4,2
Under 18,29.57950756019734,7,2
26-35,35.52335921127225,7,3
26-35,21.742948007031558,6,2
26-35,24.113751586117022,7,3
18-25,26.249339204031962,8,2
Under 18,26.88324695763028,5,1
18-25,2.692574831915479,1,1
18-25,26.226853473068637,7,2
26-35,38.1718551376607,7,3
26-35,27.044874928910605,5,1
18-25,26.651234958588976,6,3
50+,24.393780634341073,6,3
26-35,26.77274967499826,8,2
18-25,25.699615669127642,7,3
Under 18,20.088805481542693,5,2
18-25,19.634822938776175,4,1
18-25,15.3692100072983,4,1
18-25,21.211157128539465,4,2
18-25,33.20799784576652,7,3
18-25,13.68253564359476,3,1
18-25,24.318110472092897,7,2
36-50,23.92573046469466,6,3
Under 18,30.323794382968977,9,4
26-35,38.30314648172946,8,4
18-25,13.530057475125055,2,1
50+,15.128922740468484,3,1
Under 18,16.362896162523565,3,1
18-25,16.610604286258713,3,1
50+,16.00775756641229,4,2
36-50,24.08238711502217,6,2
36-50,16.891678150934997,5,2
18-25,15.024459539870774,3,1
18-25,14.465867826406292,3,1
26-35,28.94099594159623,6,2
50+,17.681158291643335,3,1
26-35,23.06958835858269,4,1
26-35,18.264962417308485,4,2
18-25,8.771621498283762,1,1
36-50,31.789202364058497,8,3
18-25,17.97890618529652,5,2
18-25,38.97344710998124,8,2
18-25,25.409539736306893,5,1
26-35,39.63402266414059,8,5
18-25,26.954410956598778,8,4
Under 18,21.109613103808776,4,2
26-35,20.21873953552016,5,1
18-25,13.162120592224639,3,1
26-35,33.957208135887484,8,5
18-25,21.855238343284636,7,3
18-25,24.315507285484305,5,1
26-35,31.516988039589894,9,3
Under 18,22.491820714080585,4,1
18-25,16.69699716189019,4,1
Under 18,27.0889172971092,7,3
Under 18,18.612692068883774,4,1
50+,18.452846323588197,3,1
18-25,25.02173424646402,5,1
36-50,21.646219558906356,6,3
18-25,7.2750649916909875,2,1
26-35,33.32470003642838,10,4
36-50,29.529572979490307,6,2
26-35,10.351071267196453,3,1
18-25,12.696961560369234,2,1
18-25,34.16715732239857,10,3
18-25,21.624242749527383,4,1
50+,18.017756366351826,4,1
36-50,19.441699557702577,4,1
50+,12.846486745716827,3,1
Under 18,18.639076503855314,5,2
26-35,32.79538191332569,7,3
50+,17.921610203095003,4,2
18-25,24.271988601251337,7,2
Under 18,32.35995003954594,6,2
26-35,20.356174556430457,4,1
26-35,27.422999205267534,8,4
36-50,28.026361365614065,5,1
Under 18,13.469674565733824,3,1
36-50,23.06831696839483,5,3
18-25,33.10627167238452,10,3
18-25,17.61824733678129,4,2
18-25,27.478425766026525,7,4
36-50,21.153178736741367,5,1
26-35,39.396696138535916,11,6
26-35,11.836256889303158,2,1
18-25,20.45469333707199,6,2
36-50,13.12687182912466,2,1
18-25,15.093862286033742,3,1
36-50,17.759087288228834,5,1
18-25,18.131305850063022,3,1
18-25,11.68196054513276,2,1
18-25,19.497823097083415,4,1
18-25,23.223265531368245,6,3
26-35,12.744774939027472,2,1
26-35,19.920540079764226,4,1
18-25,37.78694492934116,9,5
36-50,23.975422833195093,5,1
18-25,7.27581157072763,1,1
26-35,13.796273081921699,2,1
50+,19.129521226864306,3,1
26-35,25.805328308593904,5,1
Under 18,15.88790038809384,3,1
50+,28.966574784439878,6,2
26-35,45.94983056694923,12,4
18-25,18.149316481051937,5,2
Under 18,26.11069806148717,7,3
36-50,27.538997027926015,6,2
26-35,33.44698511582062,8,2
26-35,19.879317425808768,5,2
36-50,33.63669530332322,8,4
36-50,21.588416822593544,5,2
18-25,22.95394456717578,6,3
18-25,20.01430457159817,6,2
18-25,19.02219679390869,5,1
26-35,27.227235679502876,6,2
Under 18,11.69880098344538,2,1
26-35,9.230775846610806,2,1
36-50,20.71971714391764,5,2
36-50,16.717434178460387,5,1
18-25,23.83252574590648,4,1
36-50,24.602740952269894,5,1
Under 18,20.094360137876915,5,1
36-50,30.889448743326312,6,3
Under 18,19.95640624795921,5,1
18-25,9.792944099378724,2,1
36-50,20.658134550073505,4,1
Under 18,28.196774367985068,7,3
18-25,6.810217289276199,1,1
26-35,24.24770938360019,7,3
26-35,29.60369627647164,6,3
26-35,46.21793867622227,9,3
26-35,34.666061095420844,9,5
26-35,26.060931066915884,6,2
18-25,23.64531458442863,5,3
18-25,6.71613247800552,1,1
18-25,12.651944698658262,3,1
50+,21.254778355553153,4,1
26-35,26.289339173250543,6,2
18-25,22.02118830618175,6,2
18-25,20.238802575741527,4,1
50+,17.974545512092426,3,1
18-25,20.72051453935158,6,2
26-35,16.551718525881558,3,1
26-35,23.16858422124054,5,2
26-35,15.047162948569268,4,1
Under 18,15.662824802832311,4,1
36-50,29.1754300552272,7,3
50+,17.09623844751218,5,1
26-35,29.766715802246463,8,2
26-35,25.9223564329004,6,3
50+,16.075541665533628,3,1
26-35,16.931450347132614,5,2
18-25,17.199610433134495,4,2
26-35,26.465427567844195,7,2
26-35,29.641227552994078,8,4
18-25,20.856358051901005,5,3
26-35,30.195842543565686,7,2
50+,10.39914948720147,2,1
50+,22.333312787917507,4,1
18-25,12.102205615086326,2,1
Under 18,26.88453232010615,7,2
50+,20.512029217064217,5,2
36-50,10.778862627130202,2,1
Under 18,25.158739769294506,6,2
50+,22.975486699164556,6,3
36-50,29.54727076207543,6,2
26-35,18.851213727151816,5,1
26-35,26.43528673656421,6,3
18-25,24.86114568134096,6,2
Under 18,25.15428807188455,6,2
18-25,22.86664533304078,5,2
36-50,19.440182539260267,3,1
Under 18,26.91560627876403,5,2
18-25,26.956739767701617,5,1
18-25,18.92005185732378,4,1
26-35,18.73156156767151,5,2
50+,14.36048330400928,4,1
18-25,29.553724007325485,9,4
18-25,26.654748694428985,5,1
26-35,24.839681738239765,6,2
18-25,18.60578754735302,4,2
18-25,7.6226926740102545,1,1
18-25,19.40919226935336,3,1
Under 18,11.662193918120781,2,1
18-25,21.112996335442308,4,1
18-25,28.296730727330086,7,4
18-25,13.136839129192913,3,1
50+,19.19293380194017,4,1
18-25,26.984458334069483,6,2
26-35,26.76236316217801,6,3
26-35,20.808136305197944,4,1
Under 18,20.072704836904794,4,2
26-35,32.65798969782301,9,3
18-25,21.83804501928209,5,1
50+,17.983147087198287,5,2
Under 18,28.093001883481385,7,2
18-25,23.604425089652963,4,1
Under 18,11.579682997350373,3,1
50+,21.157063309909976,4,1
26-35,32.596470038258126,9,3
26-35,15.101468903300097,4,1
Under 18,4.118823528933646,1,1
26-35,16.66453864977319,3,1
18-25,19.282502186214696,5,2
36-50,28.05873007028761,9,4
18-25,13.7633357607181,3,1
18-25,23.885841866581274,5,2
Under 18,0.0,1,1
18-25,21.262147042520564,6,2
26-35,21.74607636891656,5,3
Under 18,34.69019147147579,10,4
36-50,10.647482276604073,2,1
18-25,19.8984896203704,4,1
26-35,9.81422918700471,1,1
18-25,16.152045867862846,3,1
18-25,8.091915240772277,2,1
26-35,43.40630992072662,9,3
18-25,17.511164923573084,3,1
18-25,18.522793546829877,4,1
36-50,21.74359764936818,5,3
